zipcode,latitude,longitude,area
1000,36.8,9.821,TUNIS
1001,36.806,10.181,TUNIS
1002,36.818,10.18,TUNIS
1003,36.807,10.168,TUNIS
1004,36.84,10.185,TUNIS
1005,36.787,10.126,TUNIS
1006,36.828,10.164,TUNIS
1007,36.822,10.191,TUNIS
1008,36.823,10.217,TUNIS
1009,36.83,10.214,TUNIS
1013,36.84,10.185,TUNIS
1019,36.81,9.99,TUNIS
1027,36.789,10.178,TUNIS
1029,36.835,10.242,TUNIS
1046,36.8,10.18,TUNIS
1053,36.66,10.21,TUNIS
1054,36.799,10.177,TUNIS
1057,36.66,10.21,TUNIS
1059,36.81,9.99,TUNIS
1064,36.84,10.23,TUNIS
1067,36.8,10.31,TUNIS
1068,36.824,10.151,TUNIS
1069,36.801,10.179,TUNIS
1073,36.81,10.17,TUNIS
1074,36.842,10.195,TUNIS
1075,36.81,10.172,TUNIS
1082,36.846,10.189,TUNIS
1089,36.939,9.999,TUNIS
1091,36.858,10.228,TUNIS
1095,36.717,10.152,TUNIS
1100,36.419,10.193,ZAGHOUAN
1110,36.746,10.017,MANNOUBA
1111,36.535,10.079,ZAGHOUAN
1112,36.337,10.343,ZAGHOUAN
1113,36.224,10.285,MANNOUBA
1114,36.796,9.836,MANNOUBA
1115,36.214,10.146,ZAGHOUAN
1116,36.76,10.01,MANNOUBA
1121,36.373,10.198,ZAGHOUAN
1122,36.338,10.245,ZAGHOUAN
1123,36.582,9.98,ZAGHOUAN
1124,36.866,9.915,MANNOUBA
1125,36.795,9.967,BEN_AROUS
1130,36.884,9.782,MANNOUBA
1131,36.456,10.034,ZAGHOUAN
1132,36.456,10.324,ZAGHOUAN
1133,36.877,9.826,MANNOUBA
1134,36.884,9.956,MANNOUBA
1135,36.692,10.235,BEN_AROUS
1140,36.383,9.875,ZAGHOUAN
1141,36.502,9.937,ZAGHOUAN
1142,36.674,9.858,MANNOUBA
1143,36.78,9.676,MANNOUBA
1144,36.901,9.69,MANNOUBA
1145,36.648,10.091,BEN_AROUS
1146,36.669,10.132,ZAGHOUAN
1152,36.627,9.952,ZAGHOUAN
1153,36.679,9.987,MANNOUBA
1154,36.686,10.038,ZAGHOUAN
1155,36.393,10.048,ZAGHOUAN
1160,36.197,10.047,ZAGHOUAN
1162,36.233,9.983,ZAGHOUAN
1163,36.148,9.968,ZAGHOUAN
1164,36.068,9.972,BEN_AROUS
1193,36.335,10.03,ZAGHOUAN
1194,36.268,10.053,ZAGHOUAN
1200,35.17,8.822,KASSERINE
1210,35.588,8.667,KASSERINE
1211,35.738,8.737,KASSERINE
1212,35.645,8.712,KASSERINE
1213,35.168,8.422,KASSERINE
1214,34.758,8.531,KASSERINE
1215,34.984,8.594,KASSERINE
1216,35.546,8.363,KASSERINE
1220,35.343,8.533,KASSERINE
1221,35.543,8.422,KASSERINE
1222,35.597,8.473,KASSERINE
1223,35.615,8.53,KASSERINE
1224,35.594,8.554,KASSERINE
1225,35.51,8.537,KASSERINE
1226,35.53,8.609,KASSERINE
1230,35.241,8.759,KASSERINE
1231,35.609,8.782,KASSERINE
